Date,Open,High,Low,Close,Adj Close
27/11/2018,42.877499,43.692501,42.720001,43.560001,42.287064
28/11/2018,44.182499,45.322498,43.732498,45.235001,43.913116
29/11/2018,45.665001,45.700001,44.424999,44.887501,43.575779
30/11/2018,45.072498,45.0825,44.2575,44.645,43.340359
03/12/2018,46.115002,46.235001,45.302502,46.205002,44.854771
04/12/2018,45.237499,45.5975,44.067501,44.172501,42.881668
06/12/2018,42.939999,43.695,42.605,43.68,42.403561
07/12/2018,43.372501,43.622501,42.075001,42.122501,40.891575
10/12/2018,41.25,42.522499,40.8325,42.400002,41.160961
11/12/2018,42.915001,42.947498,41.75,42.157501,40.925552
12/12/2018,42.599998,42.98,42.255001,42.275002,41.039619
13/12/2018,42.622501,43.142502,42.387501,42.737499,41.488598
14/12/2018,42.25,42.27,41.32,41.369999,40.161057
17/12/2018,41.362499,42.087502,40.682499,40.985001,39.787312
18/12/2018,41.345001,41.8825,41.0975,41.517502,40.304256
19/12/2018,41.5,41.862499,39.772499,40.2225,39.047096
20/12/2018,40.099998,40.5275,38.825001,39.2075,38.06176
21/12/2018,39.215,39.540001,37.407501,37.682499,36.581318
24/12/2018,37.037498,37.887501,36.647499,36.7075,35.634815
26/12/2018,37.075001,39.307499,36.68,39.2925,38.144276
27/12/2018,38.959999,39.192501,37.517502,39.037498,37.896721
28/12/2018,39.375,39.630001,38.637501,39.057499,37.916134
31/12/2018,39.6325,39.84,39.119999,39.435001,38.282616
02/01/2019,38.7225,39.712502,38.557499,39.48,38.326286
03/01/2019,35.994999,36.43,35.5,35.547501,34.508709
04/01/2019,36.1325,37.137501,35.950001,37.064999,35.981865
07/01/2019,37.174999,37.2075,36.474998,36.982498,35.901775
08/01/2019,37.389999,37.955002,37.130001,37.6875,36.586174
09/01/2019,37.822498,38.6325,37.407501,38.327499,37.207478
10/01/2019,38.125,38.4925,37.715,38.450001,37.326401
11/01/2019,38.220001,38.424999,37.877499,38.072498,36.959919
14/01/2019,37.712502,37.817501,37.305,37.5,36.40416
15/01/2019,37.567501,38.3475,37.512501,38.267502,37.149227
16/01/2019,38.27,38.970001,38.25,38.735001,37.603065
17/01/2019,38.549999,39.415001,38.314999,38.965,37.82634
18/01/2019,39.375,39.470001,38.994999,39.205002,38.059334
22/01/2019,39.102501,39.182499,38.154999,38.325001,37.205048
23/01/2019,38.537498,38.785,37.924999,38.48,37.355515
24/01/2019,38.5275,38.619999,37.935001,38.174999,37.059429
25/01/2019,38.869999,39.532501,38.580002,39.439999,38.28746
28/01/2019,38.947498,39.0825,38.415001,39.075001,37.933121
29/01/2019,39.0625,39.532501,38.5275,38.669998,37.539963
30/01/2019,40.8125,41.537498,40.057499,41.3125,40.105244
31/01/2019,41.5275,42.25,41.139999,41.610001,40.394051
01/02/2019,41.740002,42.244999,41.482498,41.630001,40.413467
04/02/2019,41.852501,42.915001,41.82,42.8125,41.561405
05/02/2019,43.215,43.77,43.087502,43.544998,42.272507
06/02/2019,43.662498,43.892502,43.212502,43.560001,42.287064
07/02/2019,43.099998,43.485001,42.584999,42.735001,41.486172
08/02/2019,42.247501,42.665001,42.105,42.602501,41.534924
11/02/2019,42.762501,42.802502,42.3125,42.357498,41.296055
12/02/2019,42.525002,42.75,42.424999,42.7225,41.651913
13/02/2019,42.8475,43.119999,42.48,42.544998,41.478859
14/02/2019,42.427502,42.814999,42.345001,42.700001,41.629982
15/02/2019,42.8125,42.924999,42.4375,42.605,41.537354
19/02/2019,42.427502,42.860001,42.372501,42.732498,41.661655
20/02/2019,42.797501,43.330002,42.747501,43.0075,41.929768
21/02/2019,42.950001,43.092499,42.575001,42.764999,41.693348
22/02/2019,42.895,43.25,42.845001,43.2425,42.158882
25/02/2019,43.540001,43.967499,43.487499,43.557499,42.465984
26/02/2019,43.427502,43.825001,43.2925,43.5825,42.490356
27/02/2019,43.302502,43.75,43.182499,43.717499,42.621975
28/02/2019,43.580002,43.727501,43.23,43.287498,42.202751
